session_id,institution_id,date_time,teacher_present,students_present,attentive_students,distracted_students,phone_usage
1,INST_4,2025-08-15 22:25:32.295633,Yes,46,15,31,4
2,INST_1,2025-08-03 02:25:32.295633,Yes,53,7,46,10
3,INST_1,2025-08-28 05:25:32.295633,Yes,49,14,35,2
4,INST_5,2025-08-26 00:25:32.295633,Yes,41,35,6,3
5,INST_1,2025-08-12 07:25:32.295633,No,58,44,14,6
6,INST_4,2025-08-14 22:25:32.295633,Yes,26,12,14,1
7,INST_2,2025-08-25 03:25:32.295633,Yes,50,36,14,11
8,INST_5,2025-08-26 01:25:32.295633,Yes,58,41,17,11
9,INST_2,2025-08-29 00:25:32.295633,Yes,28,14,14,8
10,INST_2,2025-08-25 23:25:32.295633,Yes,36,21,15,5
11,INST_2,2025-08-29 02:25:32.295633,Yes,25,7,18,6
12,INST_4,2025-08-31 07:25:32.295633,No,23,12,11,7
13,INST_5,2025-08-20 23:25:32.295633,Yes,52,29,23,13
14,INST_2,2025-08-15 02:25:32.295633,Yes,53,13,40,15
15,INST_2,2025-08-04 02:25:32.295633,Yes,33,20,13,9
16,INST_2,2025-08-04 04:25:32.295633,No,48,21,27,0
17,INST_4,2025-08-05 22:25:32.295633,Yes,47,26,21,15
18,INST_3,2025-08-21 07:25:32.295633,Yes,28,19,9,4
19,INST_3,2025-08-05 00:25:32.295633,Yes,55,51,4,0
20,INST_5,2025-08-26 23:25:32.295633,No,38,6,32,10
21,INST_2,2025-08-15 22:25:32.295633,Yes,34,20,14,0
22,INST_5,2025-08-08 22:25:32.295633,Yes,56,6,50,4
23,INST_4,2025-08-07 02:25:32.295633,Yes,23,18,5,3
24,INST_5,2025-08-05 01:25:32.295633,Yes,31,30,1,1
25,INST_4,2025-08-16 23:25:32.295633,Yes,57,47,10,7
26,INST_4,2025-08-05 03:25:32.295633,Yes,57,28,29,1
27,INST_1,2025-08-26 05:25:32.295633,Yes,25,22,3,1
28,INST_1,2025-08-17 23:25:32.295633,Yes,42,8,34,8
29,INST_3,2025-08-06 05:25:32.295633,Yes,31,11,20,6
30,INST_3,2025-08-03 02:25:32.295633,Yes,32,10,22,4
31,INST_2,2025-08-07 05:25:32.295633,Yes,22,8,14,0
32,INST_3,2025-08-30 22:25:32.295633,Yes,50,28,22,0
33,INST_3,2025-08-10 06:25:32.295633,Yes,47,27,20,11
34,INST_5,2025-08-02 23:25:32.295633,Yes,47,34,13,11
35,INST_5,2025-08-14 06:25:32.295633,No,35,14,21,5
36,INST_4,2025-08-30 06:25:32.295633,Yes,48,47,1,0
37,INST_2,2025-08-13 06:25:32.295633,Yes,35,30,5,2
38,INST_4,2025-08-24 03:25:32.295633,Yes,51,51,0,0
39,INST_4,2025-08-30 04:25:32.295633,No,51,19,32,13
40,INST_3,2025-08-02 06:25:32.295633,No,45,26,19,9
41,INST_2,2025-08-15 00:25:32.295633,Yes,31,17,14,10
42,INST_1,2025-08-05 05:25:32.295633,Yes,46,40,6,4
43,INST_4,2025-08-20 04:25:32.295633,Yes,34,20,14,10
44,INST_2,2025-08-05 01:25:32.295633,Yes,25,7,18,11
45,INST_1,2025-08-22 07:25:32.295633,Yes,28,23,5,4
46,INST_4,2025-08-19 03:25:32.295633,Yes,55,31,24,14
47,INST_3,2025-08-23 22:25:32.295633,Yes,55,49,6,4
